SectionID,event_count,frequency_raw,trend_raw,mtbf_raw,age_raw,recency_raw,mtbf_days,first_event,last_event,frequency_score,trend_score,mtbf_score,age_score,recency_score,risk_score,rank,category
1338,19,19,0.14971067590619186,196.102949845679,16.999315537303218,1428.0,196.102949845679,2012-06-04 14:50:04.400,2022-02-02 11:18:32.000,6.312292358803987,0.21928239164567204,92.48027486004459,100.0,95.91836734693878,40.35201463019561,35,Medium
275,20,20,-0.03796680859116483,251.95022159295812,16.999315537303218,1326.0,251.95022159295812,2009-04-06 09:28:52.233,2022-05-15 10:46:56.000,6.64451827242525,0.21460056789540327,90.33876054909466,100.0,98.0643803913318,40.253421686274805,36,Medium
442,19,19,-0.01707391200709644,243.1817938316615,16.999315537303218,1337.0,243.1817938316615,2010-05-10 18:16:11.233,2022-05-05 00:48:17.000,6.312292358803987,0.21512176445609446,90.67499386807074,100.0,97.8329476120345,40.18137630151302,37,Medium
1722,0,0,0.0,inf,16.999315537303218,inf,,,,0.0,0.2155476921956894,100.0,100.0,100.0,40.05388692304892,38,Medium
1383,0,0,0.0,inf,16.999315537303218,inf,,,,0.0,0.2155476921956894,100.0,100.0,100.0,40.05388692304892,38,Medium
1676,0,0,0.0,inf,16.999315537303218,inf,,,,0.0,0.2155476921956894,100.0,100.0,100.0,40.05388692304892,38,Medium
1631,0,0,0.0,inf,16.999315537303218,inf,,,,0.0,0.2155476921956894,100.0,100.0,100.0,40.05388692304892,38,Medium
295,0,0,0.0,inf,16.999315537303218,inf,,,,0.0,0.2155476921956894,100.0,100.0,100.0,40.05388692304892,38,Medium
1721,1,1,0.0,inf,16.999315537303218,1293.0,,2022-06-17 02:36:43.000,2022-06-17 02:36:43.000,0.33222591362126247,0.2155476921956894,100.0,100.0,98.75867872922365,40.04603386573873,43,Medium
1114,18,18,-0.07190379777401033,211.54415971337144,16.999315537303218,1521.0,211.54415971337144,2011-12-28 07:49:00.000,2021-11-01 13:50:01.787,5.980066445182724,0.2137539719257567,91.88816765631793,100.0,93.96170839469809,39.92026611952879,44,Medium
1579,11,11,-0.15870516759157624,136.15214378819442,16.999315537303218,1428.0,136.15214378819442,2018-05-13 11:43:14.767,2022-02-03 00:14:07.000,3.6544850498338874,0.2115886151390535,94.77914291766537,100.0,95.91836734693878,39.87963223945357,45,Medium
1115,17,17,-0.03552876598554147,270.1683398676215,16.999315537303218,1293.0,270.1683398676215,2010-08-16 23:26:26.967,2022-06-17 16:05:00.000,5.647840531561462,0.2146613875819296,89.6401702727367,100.0,98.75867872922365,39.8343114604117,46,Medium
835,17,17,0.0,303.0670374153646,16.999315537303218,1247.0,303.0670374153646,2009-04-23 10:16:27.477,2022-08-02 12:01:00.000,5.647840531561462,0.2155476921956894,88.3786398629985,100.0,99.72648853355776,39.67900793505091,47,Medium
579,27,27,-0.046612374561254645,184.67851320023146,14.088980150581794,1306.0,184.67851320023146,2009-04-11 21:29:21.947,2022-06-04 12:52:54.000,8.970099667774086,0.21438489462909915,92.91835524974525,77.63517778245318,98.4851672627814,39.38883666185072,48,Medium
131,16,16,0.0,309.3771108950617,16.999315537303218,1317.0,309.3771108950617,2009-09-08 15:33:29.797,2022-05-24 07:19:05.517,5.3156146179401995,0.2155476921956894,88.13667436966041,100.0,98.25373448348411,39.36706036160848,49,Medium
807,48,48,0.02840923778550097,102.59321808510639,9.779603011635865,1252.0,102.59321808510639,2009-05-16 00:57:00.000,2022-07-28 22:06:00.000,15.946843853820598,0.21625639225391655,96.06599037511113,44.519250999368815,99.62129181569534,39.26271180342933,50,Medium
1566,49,49,-0.0036864731217836353,40.010343009741504,8.985626283367557,1251.0,40.010343009741504,2017-04-26 01:01:05.470,2022-07-29 12:56:00.000,16.27906976744186,0.21545572902033827,98.46578750756129,38.41784136334947,99.64233115926783,39.250713104633725,51,Medium
218,24,24,-0.04536994777140895,191.71810712409425,14.581793292265571,1428.0,191.71810712409425,2010-01-07 05:09:17.523,2022-02-02 17:33:00.000,7.973421926910299,0.21441588834828848,92.64841563300895,81.42225962549968,95.91836734693878,39.108047470351316,52,Medium
71,61,61,0.037563984757766025,79.33326938522377,7.575633127994524,1348.0,79.33326938522377,2009-04-11 23:55:31.507,2022-04-23 23:50:00.000,20.26578073089701,0.2164847676070775,96.95791421407979,27.582579423521985,97.60151483273722,39.0571367161576,53,Medium
1626,5,5,0.0,19.85408449074074,16.999315537303218,1932.0,19.85408449074074,2020-06-29 10:56:10.400,2020-09-16 20:55:42.000,1.6611295681063125,0.2155476921956894,99.23869753025636,100.0,85.31453818640858,39.014475596578265,54,Medium
1214,23,23,0.02549666802401279,181.62619781670875,13.995893223819301,1337.0,181.62619781670875,2011-05-26 11:31:11.533,2022-05-04 06:09:08.343,7.641196013289036,0.21618373495930193,93.03539905279665,76.91984010098884,97.8329476120345,38.81082312025265,55,Medium
